heat_no,tar (Slag),cao (Slag),feo (Slag),sio2 (Slag),mgo (Slag),al2o3 (Slag),p2o5 (Slag),mno (Slag),b2 (Slag),b3 (Slag),b4 (Slag)
4033296,14030707,30.2,28.5,21.0,10.4,3.9,0.992,0.208,1.44,1.21,1.63
4033298,14030707,29.8,29.6,20.6,10.1,3.9,0.961,0.226,1.45,1.22,1.63
4033305,14030708,29.1,32.2,20.0,9.1,3.8,0.99,0.21,1.46,1.22,1.61
4033306,14030708,29.2,30.5,21.0,9.5,4.1,0.927,0.223,1.39,1.16,1.54
4033310,14030708,29.8,28.6,21.8,9.9,4.2,0.903,0.236,1.37,1.15,1.53
4033315,14030708,27.6,31.8,20.8,10.3,3.9,0.879,0.2,1.33,1.12,1.53
4033316,14030708,31.0,26.7,22.1,9.9,4.5,0.903,0.235,1.4,1.17,1.54
4033318,14030708,28.1,29.9,21.9,10.4,4.1,0.883,0.211,1.28,1.08,1.48
4033319,14030708,28.6,28.7,21.9,10.8,4.3,0.906,0.224,1.31,1.09,1.5
4033320,14030708,31.0,27.6,21.5,9.8,4.4,0.951,0.228,1.44,1.2,1.58
4033323,14030709,29.6,28.0,21.6,10.7,4.1,0.948,0.224,1.37,1.15,1.57
4033330,14030709,29.5,27.8,21.9,10.6,4.1,0.999,0.216,1.35,1.13,1.54
4033335,14030709,35.2,18.8,24.2,10.8,4.7,1.122,0.225,1.45,1.22,1.59
4033337,14030709,29.6,28.9,21.6,9.7,4.1,0.967,0.215,1.37,1.15,1.53
4033340,14030709,28.0,29.2,21.4,11.3,4.0,0.925,0.21,1.31,1.1,1.55
4033343,14030709,29.2,30.7,20.3,9.5,4.1,0.94,0.223,1.44,1.2,1.59
4033351,14030711,28.4,33.6,19.2,9.3,3.8,0.856,0.226,1.48,1.23,1.64
4033360,14030711,26.9,36.2,18.6,9.1,3.6,0.842,0.205,1.45,1.21,1.62
4033362,14030711,26.9,36.0,18.4,9.5,3.5,0.79,0.24,1.46,1.23,1.66
4033372,14030712,30.2,25.6,24.3,9.3,4.8,0.935,0.197,1.24,1.04,1.36
4033375,14030712,31.1,30.7,19.7,9.1,3.8,0.948,0.189,1.58,1.32,1.71
4033380,14030712,31.3,28.0,21.0,9.8,4.2,0.94,0.215,1.49,1.24,1.63
4033384,14030712,32.8,26.3,20.9,10.1,3.9,0.997,0.245,1.57,1.32,1.73
4033388,14030713,29.3,30.0,21.0,9.8,3.9,0.903,0.194,1.4,1.18,1.57
